Time_h	OD	glc_C2_12C	glc_C2_13C	GL_C2_13C	Gltot
1	0.08103	14.68893051	0.288363244	0	0.029251478
1.966666667	0.11803	14.17618524	0.301069242	0	0.056179419
2.916666667	0.16946	13.2014016	0.316894688	0	0.069496768
3.933333333	0.2849	11.76101195	0.293037495	0	0.080877588
4.8	0.3663	9.987549579	0.27098946	0	0.088171298
5.266666667	0.444	8.62615015		0	0.12763101
5.766666667	0.555	8.072378014	9.115904591	0.064223096	0.179453385
6.3	0.6438	6.962743107	7.761497205	0.099593703	0.225429838
6.783333333	0.8399	5.522547632	6.188159881	0.149704087	0.253075256
7.283333333	1.0138	4.35313339	4.826166634	0.185492011	0.354097747
7.8	1.2321	2.553498677	2.877616107	0.247283325	0.474131108
